,responsibilities(Должностные обязанности),requirements(Требования к соискателю),terms(Условия),notes(Примечания)
248,"На Мосты требуется Сварщики.Вахта 60/30  Проезд, проживание, питание.  Прямой работодатель.  Условия: - Официальное трудоустройство, соц. пакет - Оплачиваем билет до места работы! При предоставлении ЖД билета! - Выплаты на карту без задержек - Униформу предоставляем бесплатно - Работа вахтовым методом: 60/30 дней и тд. по желанию - Бесплатные обеды! - Проживание в новом общежитии! Проживание НЕ удерживается, все условия для отдыха TV, Wi-Fi (больше подробностей узнавайте у менеджера)   Обязанности: - Работа с ручной дуговой сваркой и не только ( подробности расскажет мастер) - Соблюдение режима сварки - Работа на основе разработанного плана  Требования: - Разряд 3-4 - Знание работы на полуавтоматах и их настройки - Удостоверение работы сварщиком НАКС будет преимуществом! - Умение работы ручной дуговой сваркой - Опыт работы сварщиком!  ЗВОНИ СЕЙЧАС! Вакансия СРОЧНАЯ!  В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен). Можете сообщить знакомым и друзьям, о наборе специалистов в нашу компанию!  Мы ждем соискателя на должность:  «Электрогазосварщик» : Код вакансии: E-1798587469 Имя менеджера: Нина Мы выдаем: Рабочую одежду Модель рабочей одежды: &quot;Молескин&quot;    Приветствуется опыт работы:  Электрогазосварщик Газосварщик,  Электросварщик, Сварщик,",- Умение работы ручной дуговой сваркой - Опыт работы сварщиком!,При предоставлении ЖД билета! - Выплаты на карту без задержек - Униформу предоставляем бесплатно - Работа вахтовым методом: 60/30 дней и тд. по желанию - Бесплатные обеды! - Проживание в новом общежитии!,"В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен)."
249,Требуются бетонщики ВАХТОВЫМ методом в г. ЖЕЛЕЗНОДОРОЖНЫЙ (Московская область)  Вахта 60/30  - БЕСПЛАТНОЕ ПРОЖИВАНИЕ  - СУТОЧНЫЕ!  - НОЧНЫЕ СМЕНЫ ОПЛАЧИВАЮТСЯ БОЛЬШЕ!  - БЕСПЛАТНЫЙ ПРОЕЗД С ВАШЕГО ГОРОДА ДО ОБЪЕКТА И ОБРАТНО!!!  В связи с увеличением объема работ приглашаются бетонщики на большие объемы.  ✔️ Требования:  - Опыт работы на стройке и с бетоном.  ✔️ Обязанности:  - Строительство жд станции Железнодорожная.  ✔️ Условия: - ПРЯМОЙ РАБОТОДАТЕЛЬ!  - УДЕРЖАНИЙ НИКАКИХ НЕТ!!!  - Оплата с первого дня;  - Полностью официальное оформление по ТК;  - Спецодежда выдается бесплатно;  Продление вахты возможно на месте. 90% сотрудников продлевают вахту и остаются с нами.  Присоединяйтесь к нашей дружной команде!,✔️ Требования:  - Опыт работы на стройке и с бетоном.,- УДЕРЖАНИЙ НИКАКИХ НЕТ!!! - Оплата с первого дня; - Полностью официальное оформление по ТК; - Спецодежда выдается бесплатно; Продление вахты возможно на месте. 90% сотрудников продлевают вахту и остаются с нами.,
250,"Описание работодателя: в УК требуется плотник для ремонта элементов детских площадок, окон, тамбуров. Требования: ответственность, творческий подход к работе","Требования: ответственность, творческий подход к работе",,
251,"Описание работодателя: ООО ,,ПромСтройЗащита,, Требования: отделочные работы фасад Обязанности: Условия: вахта, г.норильск","Описание работодателя: ООО ,,ПромСтройЗащита,, Требования: отделочные работы фасад Обязанности: Условия: вахта, г.норильск",,
252,"Компания нашего партнера более 8 лет успешно предоставляет свои услуги на рынке труда. В связи с увеличением штата приглашаем Инженеров ПТО для работы на промышленных объектах по всей России.  Чем нужно заниматься?  — Ведение исполнительной документации. — Знание последовательности производства работ — Знание СП, НД (Нормативная документация)  Требования:  — Опыт работы в аналогичной должности; — Знание программы AutoCAD. — Средне-специальное или высшее образование.  Что мы предлагаем?  — Оформление по ТК РФ, белая заработная плата; — График работы командировками 2/1; — Оплачиваемый отдых между командировками в размере 20 000 рублей; — Предоставляется проживание в общежитиях ИТР, вагон-домах; — Питание предоставляется в столовых трехразовое за счет компании; — Мы заботимся о здоровье своих сотрудников: предоставляем полис ДМС после 1 года работы; — Проезд: в обе стороны из города проживания оплачивается компанией (авиа и жд); — Действует акция &quot;Приведи друга&quot; за вознаграждение.  ______________________________________________________________  Артикул fgd54g13ds788962551dfs",— Знание программы AutoCAD. — Средне-специальное или высшее образование.,"— График работы командировками 2/1; — Оплачиваемый отдых между командировками в размере 20 000 рублей; — Предоставляется проживание в общежитиях ИТР, вагон-домах; — Питание предоставляется в столовых трехразовое за счет компании; — Мы заботимся о здоровье своих сотрудников: предоставляем полис ДМС после 1 года работы;",
253,"Требуется Арматурщики вахтовым методом в г. Краснокамск Пермский край  Наши условия:  ✅Вахта 30\15, 45\30, 60/30,  ✅График договорной 6/1, 5\2, 7\0 и тд.., по 11 рабочих часов + час обед,  ✅Предоставляем проживание в квартире , в комнате по 2 человека,  ✅Компенсация проезда,  ✅Предоставляем спецодежду, БЕСПЛАТНОЕ питание  ✅Трудоустройство официальное по ТК РФ,  ✅Выплаты 2 раза в месяц на карту вашего любого банка.  Обязанности:  — Сборка и установка простых сеток и плоских простых каркасов  Требования:  ❗-Умение читать чертежи❗  ❗- Аналогичный МИНИМАЛЬНЫЙ опыт работы❗  🔥🔥🔥 Если заинтересовала вакансия , ЗВОНИТЕ, ПИШИТЕ ! 🔥🔥🔥","Обязанности:  — Сборка и установка простых сеток и плоских простых каркасов  Требования:  ❗-Умение читать чертежи❗  ❗- Аналогичный МИНИМАЛЬНЫЙ опыт работы❗  🔥🔥🔥 Если заинтересовала вакансия , ЗВОНИТЕ, ПИШИТЕ !","Требуется Арматурщики вахтовым методом в г. Краснокамск Пермский край  Наши условия:  ✅Вахта 30\15, 45\30, 60/30,  ✅График договорной 6/1, 5\2, 7\0 и тд.., по 11 рабочих часов + час обед,  ✅Предоставляем проживание в квартире , в комнате по 2 человека,  ✅Компенсация проезда,  ✅Предоставляем спецодежду, БЕСПЛАТНОЕ питание  ✅Трудоустройство официальное по ТК РФ,  ✅Выплаты 2 раза в месяц на карту вашего любого банка.",
254,"В Челябинскую область вахтовым методом требуются Слесаря-ремонтники!  Мы предлагаем следующие условия труда:  ✅Официальное трудоустройство;  ✅Аванс 2000 рублей;  ✅Выплаты 2 раза в месяц на карту любого банка;  ✅Минимальная вахта от 30 смен;  ✅Компенсация проезда;  ✅Проживание на время вахты без вычетов из ЗП;  ✅График работы: 6/1 – Дневные/ночные смены;  В обязанности входит:  🔧Ремонт токарных, фрезерных, сверлильных и зубонарезных станков;  Требования:  ❗ Опыт работы по ТК  🔥🔥🔥Действует АКЦИЯ &quot;ПРИВЕДИ ДРУГА И ПОЛУЧИ ПРЕМИЮ&quot;🔥🔥🔥  ⭐Если заинтересовала вакансия, звоните или пишите!⭐","Требования:  ❗ Опыт работы по ТК  🔥🔥🔥Действует АКЦИЯ &quot;ПРИВЕДИ ДРУГА И ПОЛУЧИ ПРЕМИЮ&quot;🔥🔥🔥  ⭐Если заинтересовала вакансия, звоните или пишите!⭐",✅Аванс 2000 рублей; ✅Выплаты 2 раза в месяц на карту любого банка; ✅Минимальная вахта от 30 смен; ✅Компенсация проезда; ✅Проживание на время вахты без вычетов из ЗП;,
255,"Производственное объединение &quot;СпецСтрой&quot; открыли вакантное место на должность &quot;Машинист автокрана (ИЛИ) манипулятора&quot;!  Условия:  — Официальное трудоустройство   — Заработная плата 2 раза / месяц   — Работа постоянная   — Техника в хорошем состоянии   — Медкомиссия оплачиваются   — График работы: вахта 45/15, смена 9 часов, с 8 до 18.   — Адрес места работы: г Магнитогорск. Территория ПАО ММК   — Спецодежда, СИЗ предоставляются.  Обязанности:  — 1. Работа на автокранах (на джойстиках) XCMG (2018 г.в.), г/п 25 т и Zoomlion 25т.  ИЛИ  — 2. Проведение осмотра и проверки состояния площадки для установки крана-манипулятора (на рычагах)   — Выполнение погрузо-разгрузочных работ.   — Монтаж железобетонных и металлических конструкций.  Требования:  — Наличие прав категории С,E.   — Опыт работы на автокране от 3 лет.   — Знание технического устройства автомобиля и крановой установки.   — Бережное отношение к технике.   — Соблюдение требований охраны труда, техники безопасности, внутреннего трудового распорядка.  Оставляйте отклик в вакансии или звоните по номеру телефона указанный на сайте.","— Знание технического устройства автомобиля и крановой установки. — Бережное отношение к технике. — Соблюдение требований охраны труда, техники безопасности, внутреннего трудового распорядка. Оставляйте отклик в вакансии или звоните по номеру телефона указанный на сайте.","— Адрес места работы: г Магнитогорск. Территория ПАО ММК   — Спецодежда, СИЗ предоставляются. Обязанности:  — 1. Работа на автокранах (на джойстиках) XCMG (2018 г.в.), г/п 25 т и Zoomlion 25т.  ИЛИ  — 2. Проведение осмотра и проверки состояния площадки для установки крана-манипулятора (на рычагах)   — Выполнение погрузо-разгрузочных работ. — Монтаж железобетонных и металлических конструкций.",
256,"компании Регро для работы вахтовым методом  СРОЧНО ТРЕБУЮТСЯ  📢бетонщики реконструкция жд станций  Прямой работодатель. Своевременные выплаты. Оформляем Бронь от Мобилизации  вакансия открыта г. Москва.  Условия:  💰- оплата часовая, график 7/11, выходной скользящий, доплата за ночные смены (ЗП УКАЗАНА ЗА ВАХТУ 60/30)  🏡- Комфортные место проживания бесплатно, питание суточные  🦺- Спец. одежда бесплатно  🗃️- Официальное оформление по ТК РФ !  🧾- Покупаем билет за счет компании из вашего города до места работы!  🩺- Мед. комиссия за счет работодателя.  🧳- Вахтовый метод  🤝🏻- Акция &quot;ПРИВЕДИ ДРУГА&quot;  Должностные обязанности:  🛠️- реконструкция жд станций, обще строй, бетонные работы Требования:  💡- Опыт работы от 6 месяцев",,"Условия:  💰- оплата часовая, график 7/11, выходной скользящий, доплата за ночные смены (ЗП УКАЗАНА ЗА ВАХТУ 60/30)  🏡- Комфортные место проживания бесплатно, питание суточные  🦺- Спец. одежда бесплатно  🗃️- Официальное оформление по ТК РФ ! 🧾- Покупаем билет за счет компании из вашего города до места работы! 🩺- Мед. комиссия за счет работодателя.",
257,"Обязанности: Управление автомобилем (НОВЫЙ КАМАЗ 2023г. -предоставляется) c КМУ(манипуляторная установка -8 т.), Выполнение погрузочно-разгрузочных работ/ доставка и экспедирование грузов по Москве и МО Поддержание техники в исправном состоянии, выявление и устранение неисправностей в работе манипулятора Ведение путевых листов.  Требования: Опыт работы на гидравлических и тросовых установках (манипуляторах) Стаж работы не менее 3-х лет на грузовых автомобилях с КМУ массой более 10 тонн Приветствуется наличие удостоверения оператора кран-манипуляторной установки (машиниста крана) правил техники безопасности при работе крана-манипулятора технологии производства погрузочно-разгрузочных работ схем строповки и крепления грузов.  Условия: Машина домашняя  Своевременные выплаты заработной платы, 2 раза в месяц  График работы 6/1, выходные плавающие",Требования: Опыт работы на гидравлических и тросовых установках (манипуляторах) Стаж работы не менее 3-х лет на грузовых автомобилях с КМУ массой более 10 тонн Приветствуется наличие удостоверения оператора кран-манипуляторной установки (машиниста крана) правил техники безопасности при работе крана-манипулятора технологии производства погрузочно-разгрузочных работ схем строповки и крепления грузов.,"Условия: Машина домашняя  Своевременные выплаты заработной платы, 2 раза в месяц  График работы 6/1, выходные плавающие",
258,"На крупное авиационное производство в г. Уфа требуется Инженер технолог.  Обязанности:  — разрабатывать и внедрять технологические процессы механической обработки и сборки узлов;   — устанавливать пооперационный маршрут;   — составлять планы размещения оборудования;   — разрабатывать технологические нормы, маршрутные карты, инструкции и другую технологическую документацию;   — составлять технические задания на проектирование приспособлений, оснастки и специального инструмента, предусмотренных разработанной технологией;   — осуществлять контроль за соблюдением технологической дисциплины;   — вести расчет норм расхода основных и вспомогательных материалов на изделия.  Требования:  — знание основ механической обработки металлов, системы станков с ЧПУ, сборки узлов и написание технологических процессов;   — знание основного технологическое оборудования и принципов его работы;   — знание типовых технологических процессов и режимов производства;   — знание технических требований, предъявляемых к сырью и материалам.  Условия:  — официальное трудоустройство по ТК РФ;   — почасовая оплата труда 266 р/ч;   — график работы:6/1 по 11 часов;   — бесплатное проживание для иногородних в квартирах;   — выплата заработной платы без задержек (15 числа-з/п,30 числа-аванс);   — вахтовый метод 60/30,либо на постоянной основе;   — спец. одежда и мед. комиссия за счет работодателя;   — компенсация проезда до вахты.","Требования:  — знание основ механической обработки металлов, системы станков с ЧПУ, сборки узлов и написание технологических процессов;   — знание основного технологическое оборудования и принципов его работы;   — знание типовых технологических процессов и режимов производства;   — знание технических требований, предъявляемых к сырью и материалам.","Условия:  — официальное трудоустройство по ТК РФ;   — почасовая оплата труда 266 р/ч;   — график работы:6/1 по 11 часов;   — бесплатное проживание для иногородних в квартирах;   — выплата заработной платы без задержек (15 числа-з/п,30 числа-аванс);   — вахтовый метод 60/30,либо на постоянной основе;   — спец. одежда и мед. комиссия за счет работодателя;   — компенсация проезда до вахты.",
259,"Описание работодателя: В стабильно динамичную, развивающуюся транспортную компанию ООО &quot;Продис-ДВ&quot; СРОЧНО требуется машинист автогрейдера  НОВЫЙ Автогрейдер LGCE G9220F AWD  Место работы: Республика Саха (Якутия), Эльгинское месторождение угля.  Обязанности: - управление автогрейдером - планировка, срезка грунта, профилирование дорог, перемещение грунтов и сыпучих материалов, возведению земляного полотна, укатка дорожного полотна и других аналогичных работ с применением основного и сменного навесного оборудования. - слесарные работы по ТО и профилактическому ремонту техники.  Требования:  - Наличие удостоверения машинист автогрейдера обязательно.  - Опыт работы от 3 лет.  Условия:  - оформление по трудовому договору в соответствии с ТК РФ;  - вахта 60/30;  - своевременная выплата заработной платы;  - бесплатное питание и проживание;  - спецодежда предоставляется;  - медицинская комиссия и проезд до участка и обратно компенсируется работодателем.",Требования:  - Наличие удостоверения машинист автогрейдера обязательно. - Опыт работы от 3 лет.,Условия:  - оформление по трудовому договору в соответствии с ТК РФ;  - вахта 60/30;  - своевременная выплата заработной платы;  - бесплатное питание и проживание;  - спецодежда предоставляется;  - медицинская комиссия и проезд до участка и обратно компенсируется работодателем.,
260,"Производственное объединение &quot;СпецСтрой&quot;. ООО &quot;Гермес-Т&quot; в поисках &quot;Машиниста автокрана и манипулятора&quot;!  Условия:  — Адрес места работы: г Магнитогорск. Территория ПАО ММК   — Официальное трудоустройство   — Заработная плата 2 раза / месяц   — Работа постоянная   — Техника в хорошем состоянии   — Медкомиссия оплачиваются   — График работы: смена 9 часов, с 8 до 18.   — Спецодежда, СИЗ предоставляются.  Обязанности:  — 1. Работа на автокранах (на джойстиках) XCMG (2018 г.в.), г/п 25 т и Zoomlion 25т.  ИЛИ  — 2. Проведение осмотра и проверки состояния площадки для установки крана-манипулятора (на рычагах)   — Выполнение погрузо-разгрузочных работ.   — Монтаж железобетонных и металлических конструкций.  Требования:  — Наличие прав категории С,E.   — Опыт работы на автокране от 3 лет.   — Знание технического устройства автомобиля и крановой установки.   — Бережное отношение к технике.   — Соблюдение требований охраны труда, техники безопасности, внутреннего трудового распорядка.  Оставляйте отклик в вакансии или звоните по номеру телефона указанный на сайте.","— Знание технического устройства автомобиля и крановой установки. — Бережное отношение к технике. — Соблюдение требований охраны труда, техники безопасности, внутреннего трудового распорядка. Оставляйте отклик в вакансии или звоните по номеру телефона указанный на сайте.","Территория ПАО ММК   — Официальное трудоустройство   — Заработная плата 2 раза / месяц   — Работа постоянная   — Техника в хорошем состоянии   — Медкомиссия оплачиваются   — График работы: смена 9 часов, с 8 до 18. — Спецодежда, СИЗ предоставляются. Обязанности:  — 1. Работа на автокранах (на джойстиках) XCMG (2018 г.в.), г/п 25 т и Zoomlion 25т.  ИЛИ  — 2. Проведение осмотра и проверки состояния площадки для установки крана-манипулятора (на рычагах)   — Выполнение погрузо-разгрузочных работ. — Монтаж железобетонных и металлических конструкций.",
261,"На крупное и надежное предприятие России в Тульской области г. Алексин требуется маляр на воздушную покраску.  Требования:  — Опыт работы   — Удостоверение или подтверждение в трудовой книжке;   — Ответственность, аккуратность, внимательность;   — Желание работать и развиваться;  Обязанности:  — Окраска готовой продукции(нефтегазовая запорная арматура).  Условия:  — Официальное трудоустройство по ТК РФ с первого дня (возможность трудоустройства по договору).   — График работы вахты 60/30 (2 месяца работы, 1 месяц отдых) График сменный -по 11 часов (неделя- в день, выходной воскресенье, неделя- в ночь, выходной- воскресенье).   — Фиксированная почасовая ставка.   — Своевременная и стабильная заработная плата, без задержек; выплаты строго 2 раза в месяц на Вашу карту или другого человека.   — Первый аванс возможно после 3 рабочих смен.   — Проживание в квартире за счет фирмы (работа в шаговой доступности мин.15)   — Предоставление спецодежды бесплатно.   — Компенсация проезда (возможна покупка билета).   — Оформление и заселение в день приезда.   — По приезду в город встречает мастер","— Ответственность, аккуратность, внимательность;","— График работы вахты 60/30 (2 месяца работы, 1 месяц отдых) График сменный -по 11 часов (неделя- в день, выходной воскресенье, неделя- в ночь, выходной- воскресенье). — Фиксированная почасовая ставка. — Своевременная и стабильная заработная плата, без задержек; выплаты строго 2 раза в месяц на Вашу карту или другого человека. — Первый аванс возможно после 3 рабочих смен. — Проживание в квартире за счет фирмы (работа в шаговой доступности мин.15)   — Предоставление спецодежды бесплатно. — Компенсация проезда (возможна покупка билета). — Оформление и заселение в день приезда. — По приезду в город встречает мастер",
262,"Плотник.  В компанию Pridex требуется ПЛОТНИК м. Бауманская. Официальное оформление по ТК РФ. Своевременные выплаты заработной платы гарантированы трижды в месяц. Спецодежда и инструменты предоставляются компанией.  Условия:  1. Официальная зп с выплатами 3 раза в месяц✔  2. График работы 6/1 с 8.00 до 18.00 (1 час - перерыв на обед)✔  3. Масштабные проекты, позволяющие полностью раскрыть свой потенциал и стремительно расти как профессионал✔  Требования:  Желателен опыт работы от года! Всегда рядом бригадир и мастера на объекте.  Обязанности:  1. Возведение межкомнатных перегородок, арок, различных криволинейных конструкций, всевозможных коробов (для маскировки различных труб) 2. Монтаж дверей.  Требуется плотник г. Москва, метро Бауманская.  Прайдекс — безусловный лидер российского рынка FIT-OUT, осуществляющий полный цикл услуг по проектированию, строительству и инженерному оснащению объектов коммерческой недвижимости.  Прайдекс Констракшн/Pridex construction.",,Официальное оформление по ТК РФ. Своевременные выплаты заработной платы гарантированы трижды в месяц. Спецодежда и инструменты предоставляются компанией. Условия:  1. Официальная зп с выплатами 3 раза в месяц✔  2. График работы 6/1 с 8.00 до 18.00 (1 час - перерыв на обед)✔  3.,
263,"Технопарк «Юг-Мет» — крупнейший на Юге России оператор по сбору и переработке лома цветных и черных металлов. В Технопарк входит более 45 филиалов по сбору лома, промышленные комплексы по переработке цветных металлов, завод по производству алюминиевого профиля, покрасочные цеха, логистические площадки. Приглашаем на работу инженера по обслуживанию системы видеонаблюдения!  УСЛОВИЯ:  — Оформление в соответствии с ТК РФ (оплата отпусков, больничных листов); — График работы пн-пт с 09.00 до 17.30 (разъездная работа); — Постоянная работа в крупной стабильной компании;  ТРЕБОВАНИЯ:  — Опыт работы в сфере монтажа и обслуживания систем видеонаблюдения и ее составляющих ; — Способность быстро устранять неполадки, налаживать работу системы видеонаблюдения и ее составляющих;  ОБЯЗАННОСТИ:  — Анализ и устранение (в пределах установленных полномочий) аварийных ситуаций в работе комплекса средств автоматизации, системы видеонаблюдения, — Формирование и ведение информационных массивов и баз данных; — Обеспечение функционирования системы видеонаблюдения; — Обеспечение функционирования локальной вычислительной сети; — Формирование и ведение архивов страховочных копий общесистемного и специального программного обеспечения и данных — Выполнять требования эксплуатационной документации по техническому обслуживанию комплекса средств автоматизации, системы видеонаблюдения — Планировать восполнение запасных частей и расходных материалов, организовать их получение (приобретение) и учет. — Принимать на ответственное хранение программные и технические средства комплекса средств автоматизации по мере их поступления. При этом программные и технические средства комплекса средств автоматизации, запасные части и расходные материалы должны находиться на ответственном хранении. — Организовывать плановые проверки качества каналов связи, закрепленных за комплексом средств автоматизации, и принимает меры для его поддержания на высоком уровне.",,— График работы пн-пт с 09.00 до 17.30 (разъездная работа); — Постоянная работа в крупной стабильной компании; ТРЕБОВАНИЯ:  — Опыт работы в сфере монтажа и обслуживания систем видеонаблюдения и ее составляющих ;,
264,"На производство в г.Наб.Челны требуется Электрогазосварщик на П/А.  З/п до 91.000 руб./мес в зависимости от графика  У нас вы получите:  — Официальное трудоустройство   — Гарантированные выплаты 2 раза в месяц   — Бесплатную мед. комиссию.   — Бесплатное жилье для иногородних   — спец.одежда выдается(бесплатно)  Мы предлагаем:  — График работы по договоренности 5/2, 6/1 по 8/11 часов   — Часовая ставка 300 р + премии за выработку   — Можно работать вахтой 60/30,   — Рассмотрим без опыта, с удостоверением!  Звоните!","— Бесплатное жилье для иногородних   — спец.одежда выдается(бесплатно)  Мы предлагаем:  — График работы по договоренности 5/2, 6/1 по 8/11 часов   — Часовая ставка 300 р + премии за выработку   — Можно работать вахтой 60/30,   — Рассмотрим без опыта, с удостоверением!",,
265,"Описание работодателя:  Мы являемся прямым работодателем. В торгово-монтажную компанию требуются разнорабочие (ученики-монтажники) для монтажа вентиляционного оборудования на постоянную работу в Иркутской области, можно без опыта. Работа вахтовым методом 60/30, 30/15.  На фото один из цехов для монтажа вентиляции. Все проходят испытательный срок! Две недели.  З/П зависит от вашего опыта в каком нибудь направлении строительства и желания работать. Минимально 60 000 тр  ПРЕМИЯ гарантирована при выполнение планов. Требования:  - среднее, средне-специальное образование и выше - желание работать, учиться - опыт работ в команде - понимание вахтового метода - хотя бы небольшой опыт в работе с электроинструментом (для учеников) - пунктуальность  - честность  Обязанности:  - выполнение задач, планов поставленных мастером. - монтаж вентиляционного оборудования. - разгрузка, погрузка оборудования - прохождение курсов обучения работ на высоте - прохождение курсов охраны труда  Условия: - обучение на монтажника при желании кандидата - работа вахтовым методом 60/30, 30/15 - з/п два раза в неделю  - проживание - питание - проезд и выезд с места работы - передвижение на месте на транспорте работодателя - спецодежда  - повышение з/п на втором заезде. ДОПОЛНИТЕЛЬНЫЕ ВОПРОСЫ ПО ТЕЛЕФОНУ ИЛИ В СООБЩЕНИЯХ","Требования:  - среднее, средне-специальное образование и выше - желание работать, учиться - опыт работ в команде - понимание вахтового метода - хотя бы небольшой опыт в работе с электроинструментом (для учеников) - пунктуальность  - честность  Обязанности:  - выполнение задач, планов поставленных мастером. - монтаж вентиляционного оборудования. - разгрузка, погрузка оборудования - прохождение курсов обучения работ на высоте - прохождение курсов охраны труда  Условия: - обучение на монтажника при желании кандидата - работа вахтовым методом 60/30, 30/15 - з/п два раза в неделю  - проживание - питание - проезд и выезд с места работы - передвижение на месте на транспорте работодателя - спецодежда  - повышение з/п на втором заезде.",,
266,"Вахта 60/30  Прямой работодатель. Проезд, проживание, питание. На Мосты требуется Сварщики.  Условия: - Выплаты на карту без задержек - Оплачиваем билет до места работы! При предоставлении ЖД билета! - Бесплатные обеды! - Официальное трудоустройство, соц. пакет - Проживание в новом общежитии! Проживание НЕ удерживается, все условия для отдыха TV, Wi-Fi (больше подробностей узнавайте у менеджера)  - Униформу предоставляем бесплатно - Работа вахтовым методом: 60/30 дней и тд. по желанию  Обязанности: - Работа с ручной дуговой сваркой и не только ( подробности расскажет мастер) - Работа на основе разработанного плана - Соблюдение режима сварки  Требования: - Удостоверение работы сварщиком НАКС будет преимуществом! - Умение работы ручной дуговой сваркой - Разряд 3-4 - Опыт работы сварщиком! - Знание работы на полуавтоматах и их настройки  ЗВОНИ СЕЙЧАС! Вакансия СРОЧНАЯ!  В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен). Можете сообщить знакомым и друзьям, о наборе специалистов в нашу компанию!  Мы ждем соискателя на должность: «Сварщик» : Код вакансии: G-2328831283 Имя менеджера: Анастасия Мы выдаем: Робу Модель рабочей одежды: Ксв-3сп–2,3    Приветствуется опыт работы: Сварщик,  Газосварщик,  Электросварщик,  Электрогазосварщик",- Умение работы ручной дуговой сваркой - Разряд 3-4 - Опыт работы сварщиком!,"При предоставлении ЖД билета! - Бесплатные обеды! - Официальное трудоустройство, соц. пакет - Проживание в новом общежитии!","В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен)."
